id,id_site,structure,country,adm1,adm2,millennium,struc_type,x_coord,y_coord
FRA0042,183,Grotte des Fées,France,Allier,Châtelperron,Undefined,Natural cave,3.638366744,46.41166346
FRA0043,184,Grotte du Cimetière,France,Bouches-du-Rhône,Châteaurenard,Undefined,Natural cave,4.854327723,43.8782465
FRA0045,187,Grotte Murée,France,Alpes-de-Haute-Provence,Montagnac-Montpezat,Undefined,Natural cave,6.086917793,43.73414839
FRA0048,188,Gruta des Cloches,France,Ardèche,Saint-Martin-d'Ardèche,Undefined,Natural cave,4.568609813,44.3105999
ENG0052,203,Kent's Cavern,England,Devon,Torquay ,3rd-1st,Natural cave,-3.502683312,50.46757868
FRA0049,190,Gruta Monier,France,Var,Ollioules,Undefined,Natural cave,5.851883009,43.15101827
ENG0049,193,Heathery Burn Cave,England,Northumberland,Hexhamshire,2nd-1st,Natural cave,-2.149465174,54.8317129
AND08001,374,La Molina CE17,Spain,Sevilla,Lora de Estepa,3rd,Artificial cave,-4.825526,37.273864
GRE0002,17,Asine,Greece,Argolis,Asini,2nd,,22.8742935,37.52838764
GRE0003,18,Athens Agora,Greece,Central Athens,Athens,2nd,,23.72317164,37.9760031
FRA0003,19,Aubais,France,Gard,Aubais,Undefined,,4.145112831,43.74848376
FRA0008,51,Bélesta,France,Ariège,Bélesta,Undefined,,1.959874699,42.89723708
ITA0001,52,Beneceto,Italy,Parma,Parma,Undefined,,10.38340512,44.8137251
ENG0040,74,Cantera,England,Gloucestershire,Cowley,Undefined,,-2.104329746,51.83599973
CNS2762,77,Castelo Velho do Caratão,Portugal,Santarém,Mação - Mação-Penhascoso e Aboboreira,Undefined,,-7.960967,39.576802
FRA0016,91,Collias,France,Gard ,Collias,Undefined,,4.458290262,43.94883814
HUN0014,306,Regöly - Kesziállás,Hungary,Tolna ,Regöly ,2nd-1st,,18.37669779,46.58156936
ENG0004,25,Bampfylde Hill,England,Devon,South Molton,3rd-2nd,Barrow,-3.815447,51.069613
ENG0034,30,Barrow - Mount Caburn,England,East Sussex,Glynde ,3rd-2nd,Barrow,0.051002575,50.86196672
ENG0035,31,Barrow - Site n4,England,Oxfordshire,Ashbury,3rd-2nd,Barrow,-1.625054611,51.56405363
ENG0008,32,Barrow 1 - Hill Field,England,Norfolk ,Warham ,3rd-2nd,Barrow,0.89470333,52.9372765
ENG0009,33,Barrow 25 - Rollestone Field Group,England,Wiltshire,Winterbourne Stoke,3rd-2nd,Barrow,-1.890527204,51.16598031
FRA0020,382,Charavines,France,Isère,Charavines,3rd,,5.514434295,45.42709924
FRA0061,383,Annecy,France,Haute-Savoie,Annecy,3rd,,6.125800352,45.89620906
FRA0067,384,Epone,France,Yvelines,Epone,3rd,,1.808349682,48.94940083
FRA0070,385,Flavacourt,France,Oise,Flavacourt,3rd,,1.819115136,49.33892006
ITA0002,56,Bismantova,Italy,Reggio Emilia,Castelnovo ne' Monti,Undefined,,10.41365997,44.4215028
SCO0004,57,Bizzieberry Hill,Scotland,Lanarkshire,Biggar,Undefined,,-3.520879577,55.62824267
HUN0004,62,Bölcske,Hungary,Tolna ,Bölcske ,3rd-2nd,,18.93042732,46.73365403
WAL0002,64,Breiddin hillfort,Wales,Powys,Bausley with Criggion,2nd-1st,,-3.04969175,52.72271672
FRA0011,65,Brunbachmatt,France,Bas-Rhin,Urmatt ,Undefined,,7.289562842,48.54346576
CAT03008,67,Cabana del Moro de Colomera,Spain,Lleida,Cabó,Undefined,,1.295942,42.21995
CLM02002,78,Castillejo del Bonete,Spain,Ciudad Real,Terrinches,3rd,,-2.863326,38.599446
CNS3442,79,Castro de Nossa Senhora da Guia,Portugal,Viseu,São Pedro do Sul - São Pedro do Sul-Várzea e Baiões,Undefined,,-8.097349,40.76371
ITA0016,80,Cava Cana Barbara,Italy,Sicily,Augusta,Undefined,,15.07755101,37.29705766
FRA0013,82,Cazevieille,France,Hérault ,Cazevieille,Undefined,,3.804754996,43.75719143
GRE0004,84,Chalandritsa,Greece,Achaea,Erymanthos,2nd,,21.78325357,38.10721183
FRA0015,85,Choisy-au-Bac,France,Oise ,Choisy-au-Bac,Undefined,,2.895349182,49.43788111
ITA0004,88,Cisternino,Italy,Brindisi,Cisternino,Undefined,,17.42892575,40.75030799
GRE0005,95,Cos - Eleona,Greece,Cos,Cos,2nd,,27.28443557,36.88803618
SCO0007,114,Culbin Sands,Scotland,Moray,Dyke And Moy,Undefined,,-3.710763688,57.62745418
SCO0008,115,Cullen of Buchan,Scotland,Aberdeenshire,Gamrie,Undefined,,-2.457628112,57.65708223
FRA0019,116,Dachshubel,France,Bas-Rhin,Haguenau,Undefined,,7.800322166,48.83712138
GRE0006,95,Cos - Langada,Greece,Cos,Cos,Undefined,,27.27723041,36.89268878
CL04001,96,Coto Alto,Spain,Salamanca,La Tala,4th-3rd,,-5.51472,40.591429
FRA0017,97,Coulounieix - Chamiers,France,Dordogne ,Coulounieix-Chamiers,Undefined,,0.707306839,45.17570457
CAT01035,98,Cova de Can Mauri,Spain,Barcelona,Berga,Undefined,,1.834205,42.117673
CAT01037,100,Cova de la Roca del Frare,Spain,Barcelona,La Llacuna,Undefined,,1.552477,41.47292
CAT01038,101,Cova de Les Pixarelles,Spain,Barcelona,Tavertet,Undefined,,2.395162,41.991481
CAT01011,102,Cova del Frare,Spain,Barcelona,Matadepera,Undefined,,2.019024,41.636064
CAT03010,106,Cova dels Muricecs de Cellers,Spain,Lleida,Llimiana,Undefined,,0.895,42.053056
HUN0005,108,Csongrád-Felgyo,Hungary,Csongrád-Csanád,Felgy? ,3rd-1st,,20.05949049,46.65109
GRE0007,120,Delphi,Greece,Phocis,Delphi ,2nd,,22.50053955,38.48247549
GRE0008,121,Dendra,Greece,Argolis ,Midea ,2nd,,22.82844253,37.65459676
FRA0029,135,Donzère,France,Drôme ,Donzère,Undefined,,4.681528392,44.42852006
HUN0006,136,Dunaujváros - Kosziderpadlás,Hungary,Fejér ,Dunaujváros,3rd-1st,,18.93030547,46.9585087
WAL0003,137,Dyfnant Forest,Wales,Powys,Welshpool,2nd-1st,,-3.476337135,52.71742483
FRA0031,140,Ecorneboeuf,France,Dordogne ,Coulounieix-Chamiers,Undefined,,0.710612675,45.17127918
CLM02005,141,El Castellón,Spain,Ciudad Real,Villanueva de los Infantes,3rd,,-3.0991986,38.7119239
CL04010,142,El Cimajo,Spain,Salamanca,Doñinos de Ledesma,3rd-2nd,,-6.0344863,41.007473
GRE0009,153,Elaphotopos,Greece,Ioannina,Zagori,2nd,,20.68910695,39.90036383
GRE0010,154,Elis,Greece,Elis,Zacharo,2nd,,21.64213235,37.45611316
ENG0044,155,Elm Road - Site 44,England,Essex,Leigh-on-Sea,1st,,0.654955121,51.54524327
CYP0001,156,Enkomi,Cyprus,Famagusta,Enkomi,2nd,,33.87042107,35.16588385
SCO0009,158,Eschoncan Fell,Scotland,Kirkcudbrightshire,Minnigaff,2nd-1st,,-4.488404155,55.09175766
FRA0081,386,Mériel,France,Val-d Oise,Mériel,3rd,,2.209354191,49.07310148
ENG0047,169,Glen Avenue,England,Essex,Colchester,Undefined,,0.870778256,51.89186532
SCO0010,170,Glenluce,Scotland,Wigtownshire,Glenluce,3rd-1st,,-4.811590613,54.87952136
FRA0033,171,Gours-aux-Lions,France,Seine-et-Marne,Marolles-sur-Seine,Undefined,,3.04394935,48.38493433
SCO0011,172,Greenbrae,Scotland,Aberdeenshire,Cruden,4th-3rd,,-1.90659198,57.41335046
CAT03005,319,Sepulcre de Bullons,Spain,Lleida,Riner,Undefined,,1.544449,41.957592
ITA0005,89,Civezzano,Italy,Trentino,Civezzano,Undefined,,11.18377534,46.09026682
ITA0006,90,Cles,Italy,Trentino,Cles,Undefined,,11.02925217,46.3620519
ITA0014,250,Maccarrone di Adrano,Italy,Sicily,Adrano,2nd,,14.83386523,37.66420774
GRE0020,284,Perati,Greece,East Attica,Chamolia,2nd,,24.02184709,37.9070578
ITA0007,93,Coppa Nevigata,Italy,Foggia,Manfredonia,Undefined,,15.83382012,41.55824271
CVL01046,337,Tesoro de Villena,Spain,Alacant,Villena,Undefined,,-0.890421608,38.64362664
FRA0082,387,Chouilly,France,Marne,Chouilly,3rd,,4.005225107,49.02374538
FRA0054,207,Kirchlach,France,Bas-Rhin,Haguenau,Undefined,,7.890547519,48.80978444
GRE0014,208,Knossos,Greece,Heraklion,Heraklion,2nd,,25.162835,35.29811009
SCO0012,209,Knowes of Trotty barrow cemetery,Scotland,Orkney Islands,Orkney Islands,3rd-1st,,-3.149282617,59.04003386
FRA0055,210,Königsbrück,France,Bas-Rhin,Leutenheim,Undefined,,8.009406077,48.86196101
HUN0009,211,Kötegyán,Hungary,Békés ,Kötegyán,3rd-1st,,21.47159657,46.72708115
FRA0050,191,Haguenau-Dachshübel,France,Bas-Rhin,Haguenau,Undefined,,7.831640403,48.8506481
ENG0048,192,Ham Hill - Site 3,England,Somerset,Stoke-sub-Hamdon,1st,,-2.745869142,50.95283619
HUN0008,195,Hernádkak,Hungary,Borsod-Abaúj-Zemplén,Hernádkak ,3rd-1st,,20.96226815,48.09125972
CLM04002,196,Herrerías II,Spain,Guadalajara,Herrería,Undefined,,-1.894645393,40.85320063
GRE0011,197,Ialysos,Greece,Rhodes ,Ialysos ,1st,,28.14506751,36.39824337
SER0002,198,Iglarevo,Serbia,Toplica ,Prekoruplje,Undefined,,21.58437523,43.24103106
CL06003,227,La Tarayuela,Spain,Soria,Miño de Medinaceli,4th,,-2.503832,41.165464
ENG0058,262,Middle Hill - Barrow G5,England,Wiltshire,Warminster ,Undefined,,-2.132663498,51.20316284
CNS3179,265,Moreirinha,Portugal,Castelo Branco,Idanha-a-Nova - Monsanto e Idanha-a-Velha,Undefined,,-7.116045,40.061498
SCO0150,266,Mound on Keiss Moor,Scotland,Caithness,Keiss,Undefined,,-3.106324738,58.53805824
SCO0016,269,Near Glentanar House,Scotland,Aberdeenshire,Aboyne,2nd-1st,,-2.865178986,57.04917664
ENG0059,270,Near Peacock Farm,England,Somerset,Binfield,Undefined,,-0.782452851,51.40982376
FRA0068,272,Nécropole de Chenon,France,Charente,Chenon,5th-3rd,,0.20936568,45.95578812
GRE0019,273,Nichoria,Greece,Messenia,Karpofora,1st,,21.91291535,37.00351808
FRA0059,235,Le Chamblon,France,Lozère ,Gorges du Tarn Causses,Undefined,,3.410243417,44.36853268
FRA0060,237,Les Cents Arpents,France,Seine-et-Marne,Barbey,Undefined,,3.048888889,48.36430278
FRA0062,238,Lingolsheim,France,Bas-Rhin,Lingolsheim,Undefined,,7.67482311,48.54581234
HUN0011,258,Megyaszó,Hungary,Borsod-Abaúj-Zemplén,Megyaszó,2nd,,21.06077545,48.17904764
SCO0014,259,Mellenside,Scotland,Aberdeenshire,Colpy ,Undefined,,-2.57749941,57.36611407
HUN0012,260,Mende-Leányvár,Hungary,Komárom-Esztergom,Leányvár,3rd-1st,,18.77265676,47.68177227
FRA0004,20,Aumelas,France,Hérault ,Aumelas,Undefined,,3.616931202,43.56475053
CL04002,143,El Guijo,Spain,Salamanca,La Mata de Ledesma,4th-3rd,,-6.000464,40.993675
ITA0003,70,Campestrin,Italy,Trieste,Grignano,3rd-2nd,,13.70748327,45.71490237
FRA0065,261,Méréaucourt,France,Somme,Méréaucourt,Undefined,,1.934277469,49.73028495
CVL01003,281,Peña Negra,Spain,Alacant,Crevillent,Undefined,,-0.828397,38.273957
GRE0021,286,Peristeria,Greece,Messenia,Kyparissia ,2nd,,21.74193421,37.26271966
CL04005,287,Picón del Rey,Spain,Salamanca,Cerralbo,3rd,,-6.605745,40.990389
ITA0018,289,Plemmirio,Italy,Sicily,Plemmirio,Undefined,,15.31580556,37.00825428
FRA0083,388,Ay Champagne,France,Marne,Ay Champagne,3rd,,4.005195651,49.04838324
CAT03009,320,Sepulcro de Can Cuca,Spain,Lleida,Pinós,Undefined,,1.563891,41.86532
CAT03011,323,Sepulcro de Pedra Cabana,Spain,Lleida,Cabó,Undefined,,1.277778,42.228056
FRA0071,290,Plobannalec,France,Finistère,Plobannalec-Lesconil,Undefined,,-4.220385839,47.82641453
GRE0018,267,Mycenae,Greece,Argolis ,Mykines,2nd,,22.7565215,37.7308004
CNS241,291,Pombais - Anta dos Pombais,Portugal,Portalegre,Marvão - Beirã,Undefined,,-7.323218,39.464248
FRA0720,292,Pont-de-Roide,France,Doubs,Pont-de-Roide-Vermondans,Undefined,,6.757420553,47.38434244
FRA0075,316,Schelmen - Hofstadt,France,Bas-Rhin,Haguenau ,Undefined,,7.849665505,48.85620384
ITA0017,239,Lipari,Italy,Sicily,Lipari,Undefined,,14.92893723,38.4841013
AND04005,240,Llano de la Sabina 97,Spain,Granada,Gorafe,Undefined,,-3.020722,37.449214
AND04007,240,Llano de la Sabina 99,Spain,Granada,Gorafe,Undefined,,-3.020733,37.447297
SCO0013,251,Mains of Concraig,Scotland,Aberdeenshire,Skene,Undefined,,-2.28147308,57.17643225
ENG0055,253,MARC3 site R1,England,Hampshire,Winnall Down Copse,Undefined,,-1.278548835,51.0674398
ENG0056,253,MARC3 site R7,England,Hampshire,Winnall Down Copse,Undefined,,-1.27843515,51.06754248
CNS239,10,Anta dos Penedos de São Miguel,Portugal,Portalegre,Crato - Crato e Mártires-Flor da Rosa e Vale do Peso,Undefined,,-7.678611,39.308448
HUN0003,47,Battonya,Hungary,Békés ,Battonya,3rd-2nd,,20.97520068,46.3485381
ENG0057,256,Meare Lake Village,England,Somerset,Meare,1st,,-2.793179734,51.17703022
HUN0001,22,Baks - Levelény,Hungary,Csongrád-Csanád,Baks,3rd-2nd,,20.14223612,46.52555495
SCO0002,23,Balgay,Scotland,Angus,Dundee,Undefined,,-3.017372545,56.46182434
SCO0003,24,Balmashanner,Scotland,Angus,Forfar ,2nd-1st,,-2.885895636,56.63274778
HUN0002,26,Barát cave,Hungary,Veszprém,Tihany,2nd-1st,,17.87870459,46.92388632
FRA0005,27,Barbey,France,Seine-et-Marne,Barbey,Undefined,,3.050656828,48.36464484
FRA0006,28,Barbuise - Courtavant,France,Aube,Barbuise,Undefined,,3.580809904,48.54563922
ENG0006,29,Barnett Copse,England,Hampshire,Rowlands Castle,3rd-2nd,,-0.940894962,50.94163335
CNS14697,276,Orca de Seixas,Portugal,Viseu,Moimenta da Beira - Pêra Velha-Aldeia de Nacomba e Ariz,Undefined,,-7.686355,40.945468
FRA0066,263,Montagnac-Montpezat,France,Alpes-de-Haute-Provence,Montagnac-Montpezat,Undefined,,6.090432109,43.77494923
ENG0063,294,Portsdown - Southwick,England,Hampshire,Portchester,3rd-1st,,-1.108841628,50.8583275
HUN0013,295,Pötréte,Hungary,Zala,Pötréte,2nd-1st,,16.94663118,46.69306496
ENG0064,296,Potterne,England,Wiltshire,Potterne,2nd-1st,,-1.99666306,51.35896751
FRA0072,297,Pougues-les-Eaux,France,Nièvre,Pougues-les-Eaux,Undefined,,3.083861435,47.07441713
ITA0021,293,Portella,Italy,Sicily,Portella,Undefined,,14.86754867,38.56290613
ENG0067,308,River Thames at Runnymede Bridge,England,Berkshire,Egham,2nd-1st,,-0.534270807,51.43686957
FRA0073,309,Rocher de Comboire,France,Isère,Claix,Undefined,,5.682860539,45.13914656
ENG0068,310,Rochford,England,Lincolnshire,Stoke Rochford,3rd-1st,,-0.628092542,52.851771
FRA0074,311,Saint-Fiacre-en-Melran,France,Morbihan,Melrand,Undefined,,-3.09568502,48.00023948
FRA0080,312,Saint-Rémy-de-Provence,France,Bouches-du-Rhône,Saint-Rémy-de-Provence,Undefined,,4.848026742,43.7609238
ENG0031,40,Barrow G8 - Oakley Down,England,Wiltshire,Wylye,3rd-2nd,Barrow,-1.995617013,51.13643182
CL09001,307,Reguero Seco,Spain,León,Cistierna,2nd,Domestic,-5.1403814,42.7630933
ENG0069,313,Salisbury Plain,England,Wiltshire,Shrewton,3rd-1st,Barrow,-1.875093392,51.24191285
CL08009,314,San Adrián,Spain,Zamora,Granucillo,4th-3rd,Chamber,-5.919607,42.054082
ENG0022,35,Barrow Aldbourne G14,England,Wiltshire,Aldbourne,3rd-2nd,Barrow,-1.623248874,51.47433453
GRE0024,328,Shaft Grave Omicron,Greece,Argolis ,Mykines,1st,Natural cave,22.75639233,37.73048427
FRA0078,329,Sigottier,France,Hautes-Alpes,Sigottier,Undefined,Natural cave,5.649763992,44.44966517
FRA0063,254,Marolles-sur-Seine,France,Seine-et-Marne,Marolles-sur-Seine,Undefined,,3.042841881,48.37904687
FRA0064,255,Mas-Saint-Chély,France,Lozère ,Mas-Saint-Chély,Undefined,,3.408243602,44.30922874
GRE0017,257,Mega Monastirion,Greece,Thessaly,Mega Monastirion,2nd,,22.67974207,39.43875094
CAT03007,322,Sepulcro de la Pera,Spain,Lleida,Pinós,Undefined,,1.523492,41.863047
FRA0076,326,Sepulture Lesconil,France,Finistère,Plobannalec-Lesconil,Undefined,,-4.234255492,47.81261711
FRA0079,331,Sorel-Moussel,France,Eure-et-Loir,Sorel-Moussel,Undefined,,1.411674721,48.83672645
ENG0074,333,Steep Lowe,England,Staffordshire,Alstonefield,3rd-2nd,,-1.806037101,53.10523116
ENG0019,38,Barrow G1 - Upton great Barrow,England,Wiltshire,Upton Lovell,3rd-2nd,Barrow,-2.077434308,51.16885473
ENG0020,39,Barrow G12 - Cow Down,England,Wiltshire,Collingbourne Kingston,3rd-2nd,Barrow,-1.657713921,51.30223531
ENG0021,40,Barrow G13 - Oakley Down,England,Wiltshire,Wylye,3rd-2nd,Barrow,-1.995925409,51.1363846
ENG0026,43,Barrow G5J - Netdown group,England,Wiltshire,Shrewton,3rd-2nd,Barrow,-1.926194117,51.19020525
ENG0027,44,Barrow G67 - Winterbourne Stoke Wst Group,England,Wiltshire,Winterbourne Stoke,3rd-2nd,Barrow,-1.893597377,51.16745382
ENG0028,45,Barrow G68,England,Wiltshire,Durrington,3rd-2nd,Barrow,-1.773503419,51.20409763
ENG0029,41,Barrow G7 - Normanton Group,England,Wiltshire,Salisbury,3rd-2nd,Barrow,-1.836606986,51.08920581
ENG0030,41,Barrow G8 - Normanton Group,England,Wiltshire,Salisbury,3rd-2nd,Barrow,-1.83752529,51.08946125
CNS597-1,285,Perdigões - T1,Portugal,Évora,Reguengos de Monsaraz - Reguengos de Monsaraz,3rd,Tholos,-7.550093,38.439755
ENG0071,330,Snail Down - Barrow G5,England,Wiltshire,Collingbourne Ducis,3rd-1st,Barrow,-1.688782178,51.2668937
ENG0072,330,Snail Down - Barrow G8,England,Wiltshire,Collingbourne Ducis,3rd-1st,Barrow,-1.689310255,51.26684792
ENG0073,332,Stanfordbury burial B,England,Bedfordshire,Stanford ,1st,Barrow,-0.304639976,52.056346
HUN0016,334,Szoreg,Hungary,Csongrád-Csanád,Sz?reg ,3rd-1st,,20.19431322,46.21132572
SCO0160,335,Tap O'Noth hillfort,Scotland,Aberdeenshire,Rhynie ,Undefined,,-2.858360681,57.35123191
GRE0025,336,Teikhos Dymaion,Greece,Achaea,Araxos,2nd,,21.40303333,38.15640833
ENG0075,339,The Golden Barrow,England,Wiltshire,Boyton,3rd-1st,Barrow,-2.081401624,51.16014383
AND08003,340,Tholos de La Pastora,Spain,Sevilla,Valencina de la Concepción,3rd,Tholos,-6.06687,37.413099
AND08016,341,Tholos de Montelirio,Spain,Sevilla,Castilleja de Guzmán,3rd,Tholos,-6.059047,37.409886
CL04008,345,Tierras Lineras,Spain,Salamanca,La Mata de Ledesma,3rd,Domestic,-5.954663,40.987293
PV03004,348,Trikuaizti I,Spain,Guipúzcoa - Gipuzkoa,Beasain,Undefined,Dolmen,-2.240108,43.088192
SCO0001,1,Adabrock,Scotland,Na h-Eileanan Siar,Ness (Isle of Lewis),Undefined,Barrow,-6.236842714,58.48553183
CNS3512,3,Alcalar 3,Portugal,Faro,Portimao - Mexilhoeira Grande,3rd,Tholos,-8.590562,37.198951
ITA0019,338,Thapsos,Italy,Sicily,Priolo Gargallo,Undefined,,15.22049314,37.14566864
HUN0017,346,Tiszakeszi - Szódadomb,Hungary,Borsod-Abaúj-Zemplén,Tiszakeszi,2nd,,20.97451695,47.79178368
ENG0077,347,Tor Mead,England,Wiltshire,Great Bedwyn,3rd-1st,,-1.606741426,51.38210202
ITA0013,349,Trinitapoli,Italy,Barletta-Andria-Trani,Trinitapoli,Undefined,,16.08113962,41.35914576
TUR0001,2,Alalakh,Turkey,Hatay Province,Varisli,2nd,,36.38222016,36.24069914
FRA0084,350,Túmulo de St Fiacre,France,Morbihan,Melrand,Undefined,,-3.095690793,48.00023332
FRA0085,351,Tumulus de Kernonen,France,Finistère,Plouvorn,Undefined,,-4.051953692,48.58869542
FRA0086,352,Tumulus de La Fôret,France,Bas-Rhin,Haguenau,Undefined,,7.822499398,48.84840488
FRA0087,353,Tumulus du Ballon,France,Pas-de-Calais,Wimereux,Undefined,,1.607317059,50.77417371
CNS7234,3,Alcalar 4,Portugal,Faro,Portimao - Mexilhoeira Grande,3rd,Tholos,-8.588918,37.197509
CL04007,4,Aldea del Teriñuelo,Spain,Salamanca,Aldeavieja de Tormes,4th-3rd,Passage grave,-5.608745,40.576696
CL01001,5,Aldeagordillo,Spain,Ávila,Ávila,3rd,Domestic,-4.652327,40.653222
SCO0018,354,Tumulus Rosshire,Scotland,Highland,Edderton,Undefined,Barrow,-4.175241101,57.83961055
ENG0081,362,Wick Farm - Ring ditch 16,England,Oxfordshire,Charney Bassett,3rd-1st,Barrow,-1.460596305,51.6428231
ENG0082,363,Wigberlow barrow,England,Derbyshire,Litton,3rd-1st,Barrow,-1.747713325,53.26735801
ENG0083,41,Wilsford Shaft - Normanton Down,England,Wiltshire,Wilsford cum Lake,3rd-1st,Barrow,-1.845539691,51.17081928
ENG0084,364,Winterslow barrow JFSS3,England,Wiltshire,West Winterslow,3rd-1st,Barrow,-1.671945339,51.08757715
CNS1773,368,Buraca da Moura da Rexaldia (Gruta da Rexaldia),Portugal,Santarém,Torres Novas - Chancelaria,4th-3rd,Natural cave,-8.544788,39.582259
FRA0058,232,Lann Porz Menech,France,Morbihan,Ploemeur,5th-3rd,Cairn,-3.477696684,47.72038042
CLM05002,358,Valle de las Higueras 1,Spain,Toledo,Huecas,3rd,Artificial cave,-4.202875,39.987108
CLM05003,358,Valle de las Higueras 3,Spain,Toledo,Huecas,3rd,Artificial cave,-4.202776,39.987152
WAL0006,355,Ty Mawr Farm,Wales,Gwynedd,Brecon,2nd-1st,,-3.275140868,51.92577665
ENG0078,356,Ulrome,England,Yorkshire - East Riding,Ulrome ,1st,,-0.229473292,53.9852354
CL08013,357,Valdefinjas,Spain,Zamora,Valdefinjas,Undefined,,-5.473783,41.41465
ITA0015,359,Valsavoia,Italy,Sicily,Lentini,Undefined,,15.0038518,37.28893638
ENG0079,360,Westbury Ironworks,England,Wiltshire,Westbury,2nd-1st,,-2.200209568,51.26799366
ENG0080,361,Whitegrounds round barrow,England,North Yorkshire,Burythorpe,5th-4th,,-0.804892449,54.1037687
GRE0030,367,Mycenae Aigisthos,Greece,Argolis,Mykines,2nd,,22.75564073,37.73074439
FRA0089,365,Xanton - Chassenon,France,Vendée,Xanton-Chassenon,Undefined,,-0.700062557,46.45777325
GRE0029,366,Zakynthos,Greece,Ionian Islands,Zákynthos,2nd,,20.89174837,37.78140765
